id,name,scientific_name,description,image_url,location,funder
40,Blue-spotted Maskray,Neotrygon kuhlii,"Bright blue spots, flattened body hugging sand, subtle undulations, ambushing small crustaceans, camouflaged, elegant stealth hunter of Southern reef flats.",UNDEFINED,GSR,
41,Blueface Angelfish,Pomacanthus xanthometopon,"Vivid blue face and patterned body, grazing on sponges and algae, drifting among reef edges, territorial but graceful, turning heads wherever.",UNDEFINED,GBR,
42,Bluelined Surgeonfish,Acanthurus lineatus,"Striking horizontal stripes, grazing algae on reef walls, swift and relentless, forming tight shoals, razor tail spines flashing when threatened.",bluelinedsurgeonfish.png,GBR,
43,Bluelined Wrasse,Stethojulis bandanensis,"Slim, neon blue stripes, reef shoaler, quick feeder on small invertebrates, photogenic, tiny flash of reef brilliance.",UNDEFINED,GBR,
44,Bluespine Unicornfish,Naso unicornis,"Elongated body, horn-like snout, grazing algae along reef slopes, slicing through water with smooth, coordinated shoaling, spiny fins flashing defensively.",UNDEFINED,GBR,
45,Bluespotted Goatfish,Upeneichthys lineatus ,"Long barbels probing sand, searching for invertebrates, red-spotted golden body wiggling, occasionally darting into crevices, rhythmic feeding movements across sandy patches.",bluespottedgoatfish.png,GSR,
46,Bluespotted Ribbontail Ray,Taeniura lymma,"Flat, turquoise-spotted body gliding over sandy reef floors, whip-like tail flicking defensively, ambushing small fish, curling into shallow crevices.",bluespottedribbontailray.png,GBR,
47,Bluestreak Cleaner Wrasse,Labroides dimidiatus,"Darting along reef, bright blue stripe signaling cleaning stations, nibbling parasites from fish, bold yet agile, forming trusted mutualistic partnerships.",UNDEFINED,GBR,
48,Bobtail Squid,Euprymna tasmanica,"Tiny, rounded mantle, burrowing into sand, bioluminescent camouflage glowing softly, quick tentacle strikes capturing tiny crustaceans under cover of darkness.",bobtailsquid.png,THAI,
49,Bottlenose Dolphin,Tursiops,"Playful, sleek, leaping along coastal waters, social pods communicating via clicks and whistles, cooperative hunters, curious about boats and swimmers.",bottlenosedolphin.png,OPEN,
50,Bronze Whaler Shark,Carcharhinus brachyurus,"Bronze-toned, cruising near reefs and shallow continental slopes, hunting schooling fish, strong and alert, occasionally breaching, wary yet commanding presence.",UNDEFINED,OPEN,
51,Brown Garden Eel,Heteroconger longissimus,"Clustered in sandy patches, swaying, half-buried, delicate, filter-feeding, shy, graceful stalkers of plankton, tiny reef dancers creating miniature underwater forests.",UNDEFINED,GBR,
52,Brown Tang,Zebrasoma scopas,"Olive-brown, grazing algae on coral, darting between rocks, small but persistent, forming loose shoals, tail spines flicking defensively.",browntang.png,GBR,
53,Bull Shark,Carcharhinus leucas,"Stout, aggressive predator, patrolling shallow estuaries and reefs, hunting fish and mammals, surprisingly tolerant of freshwater, strong and relentless.",bullshark.png,GBR,
54,Bullseye,Pempheris ,"Silver-bodied, large dark eye, schooling near reef overhangs, feeding nocturnally on plankton, flicking quickly between shadowed crevices.",bullseye.png,GSR,
55,Cabbage Butterflyfish,Chaetodon kleinii,"Yellow and black patterning, gliding elegantly, nibbling polyps, darting, alert, subtle reef decorator, photogenic, instantly recognisable reef presence.",UNDEFINED,GBR,
56,Carpet Wrasse,Novaculichthys taeniourus,"Long, patterned body, flattening against reef sand, foraging invertebrates, subtle undulating movements, blending seamlessly with coral rubble textures.",UNDEFINED,GBR,
57,Chameleon Parrotfish,Scarus chameleon,"Colour-shifting body grazing algae, scraping coral with beak-like teeth, gliding gracefully along reef slopes, bold and territorial.",UNDEFINED,GBR,
58,Checkerboard Wrasse,Halichoeres hortulanus,"Small, patterned in black-and-white squares, darting among branching coral, picking tiny crustaceans, quick, curious, always alert.",UNDEFINED,GBR,
59,Chimaera,Chimaeriformes ,"Ghostly, deep-sea fish with elongated snout, whip-like tail, gliding slowly above muddy bottoms, feeding on invertebrates in near-darkness.",UNDEFINED,DEEP,
60,Chinaman Fish,Symphorus nematophorus,"Black-and-white striped, reef-dwelling grouper, ambush predator, lurks in caves, photogenic, rarely moves far, reef’s sneaky little powerhouse.",UNDEFINED,GBR,
61,Chinese trumpetfish ,Aulostomus chinensis,"Long, tubular, stalking coral or sandy flats, vertical camouflage, ambushing small fish with sudden darting strikes, blending perfectly with vertical structures.",UNDEFINED,GBR,
62,Christmas Tree Worm,Spirobranchus giganteus,"Colorful spiral tubes poking from coral, filter-feeding plankton, delicate, swaying in currents, small yet iconic, tiny reef ornaments, whimsical and essential.",UNDEFINED,GBR,
63,Clarkii Clownfish,Amphiprion clarkii,"Orange and black stripes, bold reef bouncer, darting among anemone tentacles, highly territorial, cheek-puffing during displays, playful, alert, adaptable, charismatic miniature reef guardian.",UNDEFINED,GBR,
64,Clingfish Western Male,Cochleoceps bicolor,"Small, flattened, suction disc clinging to rocks, hiding in tidal pools, feeding on tiny invertebrates, often boldly territorial among narrow crevices.",clingfish.png,GSR,
65,Clown Anenomefish,Amphiprioninae,"Bright orange, darting among stinging anemones, defending territory fiercely, protandrous sex-change, flashing against reef crevices, bold and tenacious.",clownanenomefish.png,GBR,
66,Clown Triggerfish,Balistoides conspicillum,"Black body dotted with white, yellow and orange patterns, grazing invertebrates, territorial, powerful jaw cracking shells, striking reef presence.",UNDEFINED,GBR,
67,Clown Wrasse Juvenile,Coris gaimard,"Small, bright stripes and spots, darting quickly among branching corals, keeping low, mimicking harmless patterns to avoid predators, curious yet cautious.",UNDEFINED,GBR,
68,Cobia,Rachycentron canadum,"Sleek, torpedo-shaped pelagic predator, dark brown dorsal streaks, glides near reefs and buoys, ambushes baitfish, prized sportfish, fast, muscular, photogenic, oceanic powerhouse.",UNDEFINED,OPEN,
69,Coelacanth,Latimeria chalumnae,"Ancient, lobe-finned, drifting in deep-sea caves, slow, eerie swimming, fleshy paired fins undulating, feeding on benthic prey under near-darkness.",UNDEFINED,DEEP,
70,Coffin Ray,Hypnos monopterygius ,"Flattened, electric organs pulsing, buries in sand, ambushing fish, slow-moving yet deadly, glowing faintly, surprising predators with sudden shocks.",UNDEFINED,DEEP,
71,Coffinfish,Chanaux endeavouri ,"Small, globular, sits motionless, camouflaged on seafloor, luring prey with subtle bioluminescent appendages, rare and enigmatic in deep waters.",UNDEFINED,DEEP,
72,Common Dolphin,Delphinus delphis,"Distinct hourglass pattern, fast swimmer, pod hunter, acrobatic leaps, playful, photogenic, open water near GBR reefs, joyful social species.",UNDEFINED,OPEN,
73,Common Lionfish,Pterois volitans,"Striking spiny fins, venomous, hovering among coral, ambushing small fish, slow yet deliberate movements, colors warning predators of stings.",UNDEFINED,THAI,
74,Common Seahorse,Hippocampus kuda,"Clinging with prehensile tail to seagrass, males brooding eggs, slow, swaying gently, blending with surrounding vegetation, subtle and delicate.",UNDEFINED,GSR,
75,Coral Beauty,Centropyge bispinosa,"Electric blue and orange hues, grazing algae among coral crevices, small yet territorial, darting quickly while maintaining reef dominance.",UNDEFINED,GBR,
76,Coral Trout,Cephalopholis miniata,"Vibrant red with blue spots, patrolling reef edges, ambushing unsuspecting fish, lurking near caves, powerful and swift predator.",UNDEFINED,GBR,
77,Crown-of-thorns Starfish,Acanthaster planci,"Covered in long venomous spines, slowly crawling over coral, voracious predator of reef polyps, stealthy, destructive, bright and menacing presence on the reef.",UNDEFINED,GBR,
78,Darkcap Parrotfish,Scarus oviceps,"Bold, dark head, scraping algae and coral polyps, gliding along reef slopes, colour shifting slightly with mood, persistent and territorial.",UNDEFINED,GBR,
79,Decorator Crab,Naxia tumida ,"Clinging decorations from algae and sponge onto shell, scuttling across sand and rubble, blending into reef, clever camouflaged scavenger.",decoratorcrab.png,GSR,
80,Deep Bellied Pipe Fish,Stigmatoropa narinosa,"Slender, elongated, floating vertically among seagrass, belly distended with eggs in males, drifting slowly, feeding on tiny planktonic prey.",UNDEFINED,GSR,
81,Deep Sea Crown Jelly,Atolla wyvillei ,"Transparent, umbrella-shaped, bioluminescent rings pulsing, drifting silently in midwater, tentacles trailing, mesmerizing in dark ocean depths, rare and delicate.",UNDEFINED,DEEP,
82,Deep Sea Cucumber,none,"Elongated, soft-bodied, drifting along abyssal plains, feeding on sediment, slow undulating movements, subtle tentacles sifting nutrients, enduring crushing pressure and eternal darkness.",UNDEFINED,DEEP,
83,Deep Sea Spider Crab,Pycnogonid ,"Long, spindly legs, tiny body perched on deep-sea substrate, scavenging detritus, moving deliberately, ghostly silhouette among sediment and sponges.",UNDEFINED,DEEP,
84,Diamond Trevally,Alectis indica,"Flashy, silvery, diamond-shaped body, pelagic hunter, zips through reefs, schooling tendencies, photogenic, classic big-fish thrill of shallow waters.",UNDEFINED,GBR,
85,Dragon Moray,Enchelycore pardalis,"Multicoloured, patterned jaws, lurking in holes, nocturnal ambush predator, reef’s small but bold cryptic hunter.",UNDEFINED,GBR,
86,Dugong,Dugong dugon,"Slow-moving seagrass grazer, gentle and calm, gliding through shallow waters, alert eyes scanning, massive yet peaceful, iconic, soft underwater presence.",UNDEFINED,GBR,
87,Dusky Morwong,Dactylophora nigricans,"Dark, mottled, grazing algae on reef rocks, hovering above benthos, slow, methodical movements, often blending seamlessly with shadowed crevices.",duskymorwong.png,GSR,
88,Dusky Wrasse,Halichoeres marginatus,"Small, earthy-toned, darting between coral rubble, snatching tiny crustaceans, skittish yet persistent, subtly patrolling reef edges.",UNDEFINED,GBR,
89,Eastern Blue Devil,Paraplesiops bleekeri,"Vivid blue with black accents, hiding in caves, territorial, ambushing prey, peering curiously from shadows, aggressive yet strikingly beautiful.",easternbluedevil.png,GSR,
90,Eclipse Butterflyfish,Chaetodon bennetti,"Dark dorsal patch, gliding over reef walls, feeding on polyps, pairing closely, agile movements, striking contrast against coral background.",UNDEFINED,GBR,
91,Eclipse Pigfish,Bodianus mesothorax,"Bold midbody stripe, scraping invertebrates from reef crevices, darting rapidly, alert and curious, often patrolling the same territory repeatedly.",UNDEFINED,GBR,
92,Elegant Unicornfish,Naso elegans,"Slender, streamlined, small horned protuberance, grazing algae along reef slopes, shoaling gracefully, tail spines flicking defensively when threatened.",elegantunicornfish.png,GBR,
93,Eleven Armed Seastar,Coscinasterias muricata,"Rigid, eleven arms, crawling slowly over rocks, scavenging detritus and invertebrates, blending with reef textures, subtle predator of small molluscs.",elevenarmedseastar.png,GSR,
94,Epaulette Shark,Hemiscyllium ocellatum,"Tiny, slow creeper, distinctive shoulder spots, “walking” fins across reef flats, nocturnal hunter, resilient, charming cryptic reef dweller, classic GBR favorite.",UNDEFINED,GBR,
95,Estuary Cobbler,Cnidoglanis macrocephalus ,"Flattened, venomous dorsal spines, lurking in estuarine sand and mud, nocturnal hunter of fish and crustaceans, wary and camouflaged.",estuarycobbler.png,MANG,
96,European Fan Worm,Sabella spallanzani,"Feathered, retractable tentacles filtering plankton, anchored in tubes on rocks or pilings, gentle swaying with currents, delicate yet persistent feeder.",europeanfanworm.png,ROCK,
97,Feather Star,Crinoid,"Flexible, feathery arms, clinging to corals, sweeping plankton from water, drifting with currents, subtle movements creating mesmerizing patterns.",featherstar.png,DEEP,
98,Fiddler Ray,Trygonorrhina,"Flattened, disc-like, sweeping sandy bottoms with snout, searching crustaceans and molluscs, tail flicking, resting under shade, wary yet efficient.",fiddlerray.png,GSR,
99,Fire Goby,Nemateleotris magnifica,"Vivid orange and white tail, hovering vertically above sand, twitching nervously, darting quickly into burrows when threatened, always alert.",FUNDED,GBR,Funded by Azzurro
100,Fire Urchin,Asthenosoma varium,"Spiny, vivid, reef-floor crawler, photogenic, venomous defensive spikes, subtle ambush predator, classic reef invertebrate.",UNDEFINED,THAI,
101,Flame Angelfish,Centropyge loriculus,"Vivid orange-red body with thin vertical black bars, reef crevice explorer, photogenic, subtle nibbling herbivore, tropical reef jewel of vibrant color.",UNDEFINED,GBR,
102,Flatback Turtle,Natator depressus,"Olive-green, shallow water dweller, slow-moving, subtle glider, coastal Australian endemic, grazing on seagrass, graceful, reef-edge resident.",UNDEFINED,GBR,
103,Flounder,Taratretis derwentensis ,"It has an unusual appearance, with both eyes positioned on the same side of its body, and is known for its unique hunting technique where it lies in wait for prey buried in the sand and then ambushes them by rapidly flapping its fins to create a surge of water that uncovers the prey.",flounder.png,MANG,
104,Flowery Rockcod,Epinephelus fuscoguttatus,"Spotted, ambush predator, hovering near coral ledges, eyes scanning for unsuspecting fish, powerful quick strikes, retreating into shadowed nooks.",UNDEFINED,GBR,
105,Forceps Butterflyfish,Forcipiger flavissimus,"Long, narrow snout probing coral crevices, bright yellow body, darting gracefully, feeding on tiny invertebrates, pairing closely, elegant reef navigator.",UNDEFINED,GBR,
106,Foxface Rabbitfish,Siganus vulpinus,"Bright yellow body, dark mask, grazing algae along reef slopes, spiny dorsal fins raised defensively, schooling but cautious, slow yet deliberate movements.",UNDEFINED,GBR,
107,Garfish,Hyporhamus melanochir ,"Slender, beak-like jaw, skimming near surface, feeding on small fish and plankton, fast, skittering leaps, silver flash against sunlight.",garfish.png,OPEN,
108,Ghost Crab,Ocypode spp.,"Pale, sandy, almost invisible on beaches, bursts sideways at lightning speed, digs burrows, playful coastal scavenger, photogenic sand ninja.",UNDEFINED,ROCK,
109,Giant Aussie Cuttlefish,Sepia apama,"Massive, colour-shifting body, curling arms over seafloor, jetting bursts of water to escape, males displaying flamboyant mating patterns, elusive yet charismatic.",giantaussiecuttlefish.png,GSR,
110,Giant Clam,Tridacna spp.,"Huge bivalve, colorful mantle exposed, filter-feeding plankton, embedded in reef, subtle pulsations, slow but vital, photogenic, ancient reef resident.",UNDEFINED,GBR,
111,Giant Manta Ray,Manta birostris,"Massive “flying” glider, sweeping through open water, filtering plankton, gentle and graceful, enormous wingspan, social at cleaning stations, majestic, awe-inspiring reef visitor.",UNDEFINED,OPEN,
112,Giant Moray,Gymnothorax javanicus,"Massive, greenish-grey, lurking in caves, ambushing reef fish, powerful bite, slow glider, mysterious, iconic predator of Southern reefs and crevices.",UNDEFINED,GBR,
113,Giant Trevally,Caranx ignobilis,"Silver and robust, patrolling reef edges and open waters, hunting in bursts, ambushing fish schools, fast and commanding presence.",UNDEFINED,OPEN,
114,Giant Triton,Charonia tritonis,"Massive predatory snail, coral reef hunter of crown-of-thorns, photogenic, slow gliding reef-floor presence.",UNDEFINED,GBR,
115,Goby,Aulotrachichthys pulsator,"Small, perching on rocks, flicking fins rapidly, hovering above sandy patches, scanning for tiny prey, cautious, retreating instantly into burrows.",UNDEFINED,GSR,
116,Gold Lined Triggerfish,Pseudobalistes flavimarginatus,"Bold yellow-lined pattern, reef crevice dweller, territorial, photogenic, eats invertebrates, reef’s armored little brawler.",UNDEFINED,GBR,
117,Gold Spotted Eel,Myrichthys ocellatus,"Slender, yellow-golden dots, creeping over sandy reef, ambushing crustaceans, subtle movements, shy but predatory, graceful cryptic presence.",UNDEFINED,GBR,
118,Golden Trevally Juvenile,Gnathanodon speciosus,"Striped, shimmering gold and black, schooling near reef edges, darting quickly, feeding on plankton, blending with siblings, agile and alert.",goldentrevallyjuvenile.png,GBR,
119,Great Barracuda,Sphyraena barracuda,"Sleek, torpedo-shaped, razor teeth, lightning-fast predator, solitary or small school, glides over reefs, photogenic, tropical ambush hunter of fish.",UNDEFINED,GBR,
120,Great White Shark,Carcharodon carcharias,"Conflict-avoidant, industrious hunter, born to patrol open water, powerful bursts of speed, patrolling prey schools, highly efficient and commanding presence.",greatwhiteshark.png,OPEN,
121,Green Moon Wrasse,Thalassoma lutescens,"Emerald and blue flashes, darting among branching coral, snatching small crustaceans, energetic shoals, bold yet skittish movements.",UNDEFINED,GBR,
122,Green Moray,Gymnothorax funebris,"Deep green body, camouflaged, weaving slowly through rubble, ambushing unsuspecting prey, stealthy, patient hunter, cryptic reef ghost, Southern/Australian waters.",UNDEFINED,GBR,
123,Green Sea Turtle,Chelonia mydas ,"Slow, deliberate grazers, feeding on seagrass, shell concealing green fat layer, drifting gracefully, migrating long distances, gentle and enduring.",greenseaturtle.png,GBR,
124,Grey Nurse Shark,Carcharias taurus,"Resting in caves, needle-like teeth exposed, slow-moving, docile yet intimidating, ambush predator of reef fish, ghostly eyes scanning, iconic Southern reef silhouette.",UNDEFINED,GBR,
125,Grey Reef Shark,Carcharhinus amblyrhynchos,"Sleek grey hunter, often cruising in small shoals, sharp eyes scanning reef fish, agile bursts, subtle predator, alert, elegant, classic reef shark silhouette.",UNDEFINED,GBR,
126,Gulf Catshark,Asymbolus vincenti,"Chocolate-brown body dotted with dense white spots, patrolling sandy bottoms, nocturnal hunter, stealthy movements over continental slopes.",gulfcatshark.png,GSR,
127,Gulper Eel,Eurypharynx pelecanoides ,"Deep-sea drifter, enormous hinged jaw, ballooning mouth swallowing prey whole, thin whip-like tail, bioluminescent lure often glowing faintly.",UNDEFINED,DEEP,
128,Gummy Shark,Mustelus antarcticus,"Slow, patient hunter crushing molluscs with plate-like teeth, patrolling seafloor, feeding methodical and efficient, mostly nocturnal.",gummyshark.png,DEEP,
129,Half and Half Chromis,Chromis iomelas,"Distinctly bicolour, hovering above coral heads, feeding on plankton, schooling tightly, darting rapidly, small but highly visible and active.",UNDEFINED,GBR,
130,Hammerhead Shark,Sphyrna lewini,"Wide, cephalofoil head scanning water, schooling juveniles patrolling shallow reefs, hunting fish and cephalopods, agile yet deliberate predator.",hammerheadshark.png,GBR,
131,Harlequin Filefish,Oxymonacanthus longirostris,"Spotted, slender, grazing coral polyps, weaving carefully among branches, highly camouflaged, small but precise movements, rarely straying far.",UNDEFINED,GBR,
132,Harlequin Fish,Othos dentex,"Spots shift through life, signaling age and identity, patrolling reef slopes, feeding on invertebrates, striking patterns blending with corals.",UNDEFINED,GSR,
133,Harlequin Sweetlips Juvenile,Plectorhinchus chaetodonoides,"Bold spots and stripes, exaggerated swimming movements, hovering above sand or rubble, mimicking toxic species, small but striking and highly cautious.",harlequinsweetlipsjuvenile.png,GBR,
134,Hawkbill Turtle,Eretmochelys imbricata,"Overlapping scutes, feeding on sponges among reefs, slow and deliberate, migrates long distances, strong flippers, graceful despite rugged shell.",UNDEFINED,OPEN,
135,Headband Humbug,Dascyllus reticulatus,"Black-and-white stripes, darting in tight coral colonies, feeding on plankton, highly social, quick turns and sudden retreats to crevices.",UNDEFINED,GBR,
136,Headless Chicken Monster,Enypniastes eximia ,"Transparent deep-sea sea cucumber, drifting above muddy bottoms, pulsing tentacles feeding on sediment, ghostly undulating movements, rare and mesmerizing.",headlesschickenmonster.png,DEEP,
137,Heavybeak Parrotfish,Scarus ghobban,"Massive beak scrapes coral, munching algae and polyps, gliding over reef slopes, bold, slow yet deliberate, reef gardener with powerhouse jaws.",UNDEFINED,GBR,
138,Hermit Crab,Paguridae,"Clutching empty shells, scavenging detritus, flicking antennae constantly, careful exploration of reef crevices, clever camouflage, always ready to retreat.",UNDEFINED,ROCK,
139,Honeycomb Moray,Gymnothorax favagineus,"Spotted moray, peeking from crevices, long body weaving, ambush predator, sharp teeth glint, slow deliberate movements, cryptic, reef’s sneaky corridor hunter.",UNDEFINED,GBR,
140,Horned Bannerfish,Heniochus varius,"Black-and-white striped, dorsal “horn,” elegant reef swimmer, photogenic, glides in pairs or small groups, curious, iconic reef acrobat with flair.",hornedbannerfish.png,GBR,
141,Horseshoe Leatherjacket male,Meuschenia hippocrepis,"Flattened, rough-bodied, grazing algae and invertebrates, darting across reef walls, spiny fins raised when threatened, steady and resilient movements.",horseshoeleatherjacketmale.png,GSR,
142,Humbug,Dascyllus aruanus,"Striped, schooling among branching corals, feeding on plankton, twitching rapidly, closely coordinated, agile, maintaining tight group formations.",humbug.png,GBR,
143,Humpback Dolphin,Sousa sahulensis,"Coastal estuary cruiser, subtle leaps, shy but curious, small pods, photogenic, tropical shallow water visitor, reef-edge acrobat.",UNDEFINED,OPEN,
144,Humpback Whale,Megaptera novaeangliae,"Massive acrobat of oceans, breaching and tail-slapping, migrates thousands of kilometres, singing haunting songs, gentle filter-feeder, curious, iconic, graceful leviathan of the seas.",UNDEFINED,OPEN,
146,Jewel Squid,Histoteuthis reversa ,"Two differently sized eyes, massive upper eye scans low-light for predators and prey, drifting gracefully, tentacles trailing silently, deep-sea ambush specialist.",UNDEFINED,DEEP,
147,Jimbles,Carybdea rastoni ,"Transparent box jelly, trailing long stinging tentacles, drifting with currents, tiny yet venomous, pulsing bell moving gracefully, rarely seen near reef edges.",jimbles.png,GSR,
148,Jointed Razorfish,Aeoliscus strigatus,"Slender, vertical body, hovering head-down among seagrass, feeding on small crustaceans, delicate movements, blending perfectly with surrounding stems.",UNDEFINED,GBR,
149,Lagoon Triggerfish,Rhinecanthus aculeatus,"Colorful, bold stripes, grazing algae and invertebrates, patrolling reef crests, raising dorsal spines defensively, quick lateral dashes, confident and alert.",UNDEFINED,GBR,
